timestamp,voltage_V,temperatura
2025-01-01T12:15:00,4.000,73.846
2025-01-01T12:15:05,5.000,102.692
2025-01-01T12:15:10,5.000,102.692
2025-01-01T12:15:20,2.767,38.279
2025-01-01T12:15:25,5.367,113.279
2025-01-01T12:15:30,5.446,115.558
2025-01-01T12:15:35,5.000,102.692
2025-01-01T12:15:40,5.670,122.019
2025-01-01T12:15:45,5.546,118.442
2025-01-01T12:15:50,5.600,120.000
2025-01-01T12:15:55,5.642,121.212
2025-01-01T12:16:00,5.000,102.692
2025-01-01T12:16:05,5.496,117.000
2025-01-01T12:16:10,5.535,118.125
2025-01-01T12:16:15,5.000,102.692
2025-01-01T12:16:20,5.378,113.596
2025-01-01T12:16:25,5.179,107.856
2025-01-01T12:16:35,5.000,102.692
2025-01-01T12:16:40,5.078,104.942
2025-01-01T12:16:45,8.000,189.231
2025-01-01T12:16:50,4.734,95.019
2025-01-01T12:16:55,4.000,73.846
2025-01-01T12:17:05,4.544,89.538
2025-01-01T12:17:10,4.000,73.846
2025-01-01T12:17:15,4.438,86.481
2025-01-01T12:17:20,4.337,83.567
2025-01-01T12:17:25,8.742,210.635
2025-01-01T12:17:30,4.000,73.846
2025-01-01T12:17:35,4.000,73.846
2025-01-01T12:17:40,4.476,87.577
2025-01-01T12:17:45,4.526,89.019
2025-01-01T12:17:50,4.444,86.654
2025-01-01T12:18:05,4.716,94.500
2025-01-01T12:18:10,7.000,160.385
2025-01-01T12:18:15,4.000,73.846
2025-01-01T12:18:20,4.960,101.538
2025-01-01T12:18:25,5.000,102.692
2025-01-01T12:18:35,5.000,102.692
2025-01-01T12:18:40,5.288,111.000
2025-01-01T12:18:50,5.000,102.692
2025-01-01T12:19:05,5.000,102.692
2025-01-01T12:19:10,5.660,121.731
2025-01-01T12:19:15,5.689,122.567
2025-01-01T12:19:25,5.000,102.692
2025-01-01T12:19:30,8.629,207.375
2025-01-01T12:19:40,5.343,112.587
2025-01-01T12:19:45,5.259,110.163
2025-01-01T12:19:50,5.000,102.692
2025-01-01T12:20:00,2.996,44.885
2025-01-01T12:20:05,4.881,99.260
2025-01-01T12:20:10,4.814,97.327
2025-01-01T12:20:15,4.000,73.846
2025-01-01T12:20:20,4.652,92.654
2025-01-01T12:20:25,4.000,73.846
2025-01-01T12:20:30,4.000,73.846
2025-01-01T12:20:35,4.558,89.942
2025-01-01T12:20:40,4.454,86.942
2025-01-01T12:20:50,4.315,82.933
2025-01-01T12:20:55,4.000,73.846
2025-01-01T12:21:00,4.409,85.644
2025-01-01T12:21:10,4.461,87.144
2025-01-01T12:21:15,4.000,73.846
2025-01-01T12:21:20,4.000,73.846
2025-01-01T12:21:25,2.986,44.596
2025-01-01T12:21:30,4.892,99.577
2025-01-01T12:21:35,4.000,73.846
2025-01-01T12:21:40,4.960,101.538
2025-01-01T12:21:45,5.000,102.692
2025-01-01T12:21:50,5.000,102.692
2025-01-01T12:21:55,5.000,102.692
2025-01-01T12:22:05,2.954,43.673
2025-01-01T12:22:10,5.547,118.471
2025-01-01T12:22:15,5.000,102.692
2025-01-01T12:22:20,5.000,102.692
2025-01-01T12:22:25,5.000,102.692
2025-01-01T12:22:30,5.000,102.692
2025-01-01T12:22:35,5.000,102.692
2025-01-01T12:22:40,9.000,218.077
2025-01-01T12:22:45,5.000,102.692
2025-01-01T12:22:50,5.000,102.692
2025-01-01T12:22:55,5.000,102.692
2025-01-01T12:23:00,5.395,114.087
2025-01-01T12:23:05,5.000,102.692
2025-01-01T12:23:10,5.141,106.760
2025-01-01T12:23:15,5.000,102.692
2025-01-01T12:23:20,4.000,73.846
2025-01-01T12:23:25,4.973,101.913
2025-01-01T12:23:30,4.000,73.846
2025-01-01T12:23:35,4.725,94.760
2025-01-01T12:23:40,4.000,73.846
2025-01-01T12:23:45,4.000,73.846
2025-01-01T12:23:55,4.000,73.846
2025-01-01T12:24:00,4.379,84.779
2025-01-01T12:24:05,4.309,82.760
2025-01-01T12:24:10,4.000,73.846
2025-01-01T12:24:15,4.502,88.327
2025-01-01T12:24:20,4.000,73.846
2025-01-01T12:24:25,4.000,73.846
2025-01-01T12:24:35,4.577,90.490
2025-01-01T12:24:40,4.615,91.587
2025-01-01T12:24:45,4.788,96.577
2025-01-01T12:24:50,4.741,95.221
2025-01-01T12:25:00,5.000,102.692
