timestamp,voltage_V,temperatura
2025-01-01T12:30:00,4.917,100.298
2025-01-01T12:30:05,5.145,106.875
2025-01-01T12:30:15,5.298,111.288
2025-01-01T12:30:20,5.283,110.856
2025-01-01T12:30:25,5.496,117.000
2025-01-01T12:30:30,5.507,117.317
2025-01-01T12:30:35,5.507,117.317
2025-01-01T12:30:40,5.508,117.346
2025-01-01T12:30:45,5.692,122.654
2025-01-01T12:30:50,5.613,120.375
2025-01-01T12:30:55,5.566,119.019
2025-01-01T12:31:00,5.515,117.548
2025-01-01T12:31:05,5.613,120.375
2025-01-01T12:31:10,5.583,119.510
2025-01-01T12:31:15,5.471,116.279
2025-01-01T12:31:20,5.266,110.365
2025-01-01T12:31:30,5.218,108.981
2025-01-01T12:31:35,5.050,104.135
2025-01-01T12:31:40,5.066,104.596
2025-01-01T12:31:45,4.886,99.404
2025-01-01T12:31:50,4.786,96.519
2025-01-01T12:31:55,4.697,93.952
2025-01-01T12:32:00,4.703,94.125
2025-01-01T12:32:05,4.528,89.077
2025-01-01T12:32:10,4.522,88.904
2025-01-01T12:32:15,4.482,87.750
2025-01-01T12:32:20,4.354,84.058
2025-01-01T12:32:25,4.485,87.837
2025-01-01T12:32:30,4.440,86.538
2025-01-01T12:32:35,4.498,88.212
2025-01-01T12:32:40,4.347,83.856
2025-01-01T12:32:45,4.517,88.760
2025-01-01T12:32:50,8.524,204.346
2025-01-01T12:32:55,4.559,89.971
2025-01-01T12:33:00,7.920,186.923
2025-01-01T12:33:05,4.807,97.125
2025-01-01T12:33:15,4.924,100.500
2025-01-01T12:33:20,4.969,101.798
2025-01-01T12:33:25,5.006,102.865
2025-01-01T12:33:30,5.116,106.038
2025-01-01T12:33:35,5.206,108.635
2025-01-01T12:33:40,5.439,115.356
2025-01-01T12:33:45,5.387,113.856
2025-01-01T12:33:50,5.551,118.587
2025-01-01T12:33:55,5.483,116.625
2025-01-01T12:34:00,5.568,119.077
2025-01-01T12:34:05,5.529,117.952
2025-01-01T12:34:10,5.693,122.683
2025-01-01T12:34:20,5.653,121.529
2025-01-01T12:34:25,5.592,119.769
2025-01-01T12:34:30,5.535,118.125
2025-01-01T12:34:35,5.409,114.490
2025-01-01T12:34:40,5.347,112.702
2025-01-01T12:34:45,5.235,109.471
2025-01-01T12:34:50,5.101,105.606
2025-01-01T12:34:55,5.090,105.288
2025-01-01T12:35:05,4.920,100.385
2025-01-01T12:35:10,4.879,99.202
2025-01-01T12:35:15,4.654,92.712
2025-01-01T12:35:20,4.675,93.317
2025-01-01T12:35:30,4.531,89.163
2025-01-01T12:35:40,4.514,88.673
2025-01-01T12:35:45,4.384,84.923
2025-01-01T12:35:50,4.368,84.462
2025-01-01T12:35:55,4.346,83.827
2025-01-01T12:36:05,4.523,88.933
2025-01-01T12:36:10,4.543,89.510
