timestamp,voltage_V,temperatura
2025-01-01T12:09:00,4.000,73.846
2025-01-01T12:09:05,5.011,103.010
2025-01-01T12:09:10,5.000,102.692
2025-01-01T12:09:15,5.236,109.500
2025-01-01T12:09:20,5.442,115.442
2025-01-01T12:09:25,5.000,102.692
2025-01-01T12:09:30,5.527,117.894
2025-01-01T12:09:35,5.602,120.058
2025-01-01T12:09:40,5.498,117.058
2025-01-01T12:09:45,5.618,120.519
2025-01-01T12:09:50,5.693,122.683
2025-01-01T12:09:55,5.000,102.692
2025-01-01T12:10:00,5.000,102.692
2025-01-01T12:10:05,5.000,102.692
2025-01-01T12:10:10,5.448,115.615
2025-01-01T12:10:15,5.430,115.096
2025-01-01T12:10:20,5.000,102.692
2025-01-01T12:10:25,5.000,102.692
2025-01-01T12:10:30,5.123,106.240
2025-01-01T12:10:40,5.057,104.337
2025-01-01T12:10:45,5.000,102.692
2025-01-01T12:10:50,4.836,97.962
2025-01-01T12:11:00,4.000,73.846
2025-01-01T12:11:05,4.535,89.279
2025-01-01T12:11:10,4.000,73.846
2025-01-01T12:11:15,4.000,73.846
2025-01-01T12:11:20,8.756,211.038
2025-01-01T12:11:25,4.000,73.846
2025-01-01T12:11:30,4.000,73.846
2025-01-01T12:11:35,4.436,86.423
2025-01-01T12:11:40,4.400,85.385
2025-01-01T12:11:45,4.000,73.846
2025-01-01T12:12:00,4.000,73.846
2025-01-01T12:12:05,4.000,73.846
2025-01-01T12:12:10,4.806,97.096
2025-01-01T12:12:15,4.886,99.404
2025-01-01T12:12:20,4.913,100.183
2025-01-01T12:12:25,4.000,73.846
2025-01-01T12:12:35,5.237,109.529
2025-01-01T12:12:40,5.377,113.567
2025-01-01T12:12:45,5.329,112.183
2025-01-01T12:12:50,5.000,102.692
2025-01-01T12:12:55,5.464,116.077
2025-01-01T12:13:00,5.000,102.692
2025-01-01T12:13:05,5.000,102.692
2025-01-01T12:13:20,5.000,102.692
2025-01-01T12:13:25,5.600,120.000
2025-01-01T12:13:30,5.434,115.212
2025-01-01T12:13:35,5.000,102.692
2025-01-01T12:13:40,5.000,102.692
2025-01-01T12:13:50,5.184,108.000
2025-01-01T12:13:55,5.029,103.529
2025-01-01T12:14:00,5.071,104.740
2025-01-01T12:14:05,4.000,73.846
2025-01-01T12:14:10,4.000,73.846
2025-01-01T12:14:15,4.000,73.846
2025-01-01T12:14:20,4.677,93.375
2025-01-01T12:14:25,4.000,73.846
2025-01-01T12:14:30,4.000,73.846
2025-01-01T12:14:40,4.000,73.846
2025-01-01T12:14:45,4.324,83.192
2025-01-01T12:14:55,4.470,87.404
2025-01-01T12:15:05,4.510,88.558
2025-01-01T12:15:10,4.000,73.846
2025-01-01T12:15:15,4.000,73.846
2025-01-01T12:15:20,4.629,91.990
2025-01-01T12:15:25,4.679,93.433
2025-01-01T12:15:30,4.742,95.250
2025-01-01T12:15:35,4.888,99.462
2025-01-01T12:15:40,5.000,102.692
2025-01-01T12:15:45,5.126,106.327
2025-01-01T12:15:50,5.000,102.692
2025-01-01T12:15:55,5.187,108.087
2025-01-01T12:16:00,5.382,113.712
2025-01-01T12:16:05,5.000,102.692
2025-01-01T12:16:15,5.000,102.692
2025-01-01T12:16:20,2.792,39.000
2025-01-01T12:16:25,5.657,121.644
2025-01-01T12:16:30,5.506,117.288
2025-01-01T12:16:40,5.000,102.692
2025-01-01T12:16:45,5.574,119.250
