timestamp;value
2025-01-01T12:18:00.123;5,094
01/01/2025 12:18:05; 5.118
2025-01-01T12:18:10;5.160 
2025-01-01T12:18:15; 5.209
01/01/2025 12:18:20;5.358 
2025-01-01T12:18:25;
2025-01-01T12:18:30;5,561
2025-01-01T12:18:35; 5,626 
2025-01-01T12:18:40.123;5,535
2025-01-01T12:18:45;5.653 
01/01/2025 12:18:50; 5,513
2025-01-01T12:18:55; 5.587
2025-01-01T12:19:00.123;5,544 
2025-01-01T12:19:05; 5,459 
2025-01-01T12:19:10;??
2025-01-01T12:19:15; 5,349 
2025-01-01T12:19:20;5.310
01/01/2025 12:19:25; 5,202 
2025-01-01T12:19:30; 5,137 
2025-01-01T12:19:35; 4.996
2025-01-01T12:19:40.123;??
2025-01-01T12:19:45.123;??
2025-01-01T12:19:50;4.793 
2025-01-01T12:19:55;4,729
01/01/2025 12:20:00; 4.549 
2025-01-01T12:20:05; 4.635
2025-01-01T12:20:10;8,170 
01/01/2025 12:20:15;??
01/01/2025 12:20:20;4,417 
2025-01-01T12:20:25.123; 4.333
01/01/2025 12:20:30;4.359
2025-01-01T12:20:35; 4,500
2025-01-01T12:20:40;4,521
01/01/2025 12:20:45;
2025-01-01T12:20:50.123; 4,522
01/01/2025 12:20:55;4.589
2025-01-01T12:21:00.123; 4,666
2025-01-01T12:21:05.123; 4.672 
2025-01-01T12:21:10;4.757
2025-01-01T12:21:15;
2025-01-01T12:21:20;5,074
2025-01-01T12:21:25;
2025-01-01T12:21:30; 5,128 
01/01/2025 12:21:35;3,194 
2025-01-01T12:21:40; 5.353 
2025-01-01T12:21:45; 5,467 
01/01/2025 12:21:50; 5,536 
2025-01-01T12:21:55.123;5.561
2025-01-01T12:22:00;??
2025-01-01T12:22:05;??
2025-01-01T12:22:10; 5.658 
01/01/2025 12:22:15;5,532
2025-01-01T12:22:20;5.522 
2025-01-01T12:22:25;5,602
2025-01-01T12:22:30;5,427
2025-01-01T12:22:35;??
01/01/2025 12:22:40;5,383 
01/01/2025 12:22:45;5.199 
01/01/2025 12:22:50;5.136
01/01/2025 12:22:55;??
2025-01-01T12:23:00; 3,439 
2025-01-01T12:23:05.123;4.842 
2025-01-01T12:23:10; 4,913
2025-01-01T12:23:15; 4,702 
2025-01-01T12:23:20; 4.743 
2025-01-01T12:23:25;4.673
2025-01-01T12:23:30; 4.461
2025-01-01T12:23:35; 4.435
2025-01-01T12:23:40;
2025-01-01T12:23:45.123; 4,377
2025-01-01T12:23:50; 4.414
2025-01-01T12:23:55.123;4,481 
2025-01-01T12:24:00; 4.438
2025-01-01T12:24:05.123; 4.522 
01/01/2025 12:24:10;4.433
2025-01-01T12:24:15;4.523
01/01/2025 12:24:20;4,629
2025-01-01T12:24:25; 7,818
01/01/2025 12:24:30; 4.818 
2025-01-01T12:24:35; 4.964 
2025-01-01T12:24:40.123; 5,095 
2025-01-01T12:24:45;5,020
2025-01-01T12:24:50;5.136
2025-01-01T12:24:55.123;5,173 
2025-01-01T12:25:00; 5.372 
2025-01-01T12:25:05; 5,466 
2025-01-01T12:25:10;8,277
2025-01-01T12:25:15;5,590 
2025-01-01T12:25:20;5,670
